File Name,Artist,Title,Earliest Date,Latest Date,Photo Archive,Image Credits,Details URL
bbd1fae8-4023-4859-8ed1-d38616aec96c.jpg,Rembrandt van Rijn,De Nachtwacht,1642,1642,Rijksmuseum,https://lh3.googleusercontent.com/SsEIJWka3_cYRXXSE8VD3XNOgtOxoZhqW1uB6UFj78eg8gq3G4jAqL4Z_5KwA12aD7Leqp27F653aBkYkRBkEQyeKxfaZPyDx0O8CzWg=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-5
ade50b2f-3165-4cc3-9a1b-958b6e617391.jpg,Lambertus Antonius Claessens,De nachtwacht,1797,1797,Rijksmuseum,https://lh4.ggpht.com/JxCghY_vUmbKtiH-K6VL-EXkPo-mQAT3HeD78Jc071TgWpOXQh6jG4hIxTuugrdix2cb3gm7wNk49Gba1I0cukwH0A8=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-1883-A-7355
a555ee47-d4a2-4f0a-a856-c44628218b7d.jpg,Lambertus Antonius Claessens,De nachtwacht,1797,1797,Rijksmuseum,https://lh4.ggpht.com/UtP6N1S0zTXyvaBvl5ChkIVOVD0rakX1lKYWXILN4loCxaQUSUbeXwim0oHrGcNBz8bvVffi3q6k3CsyMG2YrrKhOAI=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-OB-67.590
ac7350df-5c5e-47e0-9bc3-0d64b8b963f9.jpg,Lambertus Antonius Claessens,De nachtwacht,1797,1797,Rijksmuseum,https://lh5.ggpht.com/gFkHPOtqsO04FNCerefNQEQejHeCB1xVd9QhoflqCPt1BWP433H7N8YTSK_9bkhB0bCmidvmUMi0PU_8r1FAzqpd79Y=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-1913-667
0e0ed7c3-dd95-4407-8f84-4d54bcb6366f.jpg,Lambertus Antonius Claessens,De nachtwacht,1797,1797,Rijksmuseum,https://lh6.ggpht.com/cOIdeB7DFg5-CajEqbQOYppJCiFzqYJWUi6EmwgVgffM-dAHiQyTQVk3CY_4EuaZeE7tS3O1_f52c8Ga4lEUZiJmLv2c=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-1918-2158
8a7f9446-7a90-42fb-868f-558d6e871582.jpg,Lambertus Antonius Claessens,De nachtwacht,1797,1797,Rijksmuseum,https://lh4.ggpht.com/yqFq1K_DVYPbz3x1F7itDj8YFqfdVc--DZcMD4LE16TQUPqgO-vqDZMTv24WLbOAyHUZPd4wlRHULxOq9-UAoepajwI=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-OB-67.589
31b7c4fc-0b26-4ab2-9dea-770797e6a6d8.jpg,Lambertus Antonius Claessens,De nachtwacht,1797,1797,Rijksmuseum,https://lh6.ggpht.com/s5p92TkEhJ3nLn9tL0ffZv8-NAOdKZWsMJMiBejSGHr91zORZ0PtTbv_54LD5Ie5_9AipWSzsH_7mJCFzdMkk3W1a7n4=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-OB-67.591
d7463308-4b27-40b6-98ac-9cde2d9d620a.jpg,Arnoldus van Geffen,Nachtwacht,1769,1769,Rijksmuseum,https://lh3.ggpht.com/7pvxEc66pGW7LghH-FQvW6WeAd9wQQZL4usKNYtBQtyi1kYVjFJl0-jVzilPu8CC4JqdABMvA57WXw56eFyV1-Z6F7sz=s0,http://www.rijksmuseum.nl/nl/collectie/BK-NM-11177-293
5beafc0f-82e8-452a-b773-c9bfc2768866.jpg,Johannes Adrianus van Geffen,Nachtwacht,1791,1791,Rijksmuseum,https://lh3.ggpht.com/PM64a_AUmi4KJjnhw6qcQ_nEAm9SIssfWZANi-a0-dm_Zmm9evH0v-xI5mWmbJX-pbs_3DXWkmatdrJhwHfYkEjklA=s0,http://www.rijksmuseum.nl/nl/collectie/BK-NM-11177-289
e47a201a-8ec3-45ef-a40b-4aa9d9305172.jpg,Johannes Adrianus van Geffen,Nachtwacht,1779,1779,Rijksmuseum,https://lh5.ggpht.com/nOqkK65Cek53Dli8pcnzKuZYzg4GlUeN5qiYglq4lgX5-GHWY2VgueYadz06pACH2-ty26m0mxgDIVFOAqBNaeazhg=s0,http://www.rijksmuseum.nl/nl/collectie/BK-1977-67
