id	year	author	title	link	subject	source
ludwig_haasen_1794.txt	1794	Herzog von Württemberg, Ludwig Eugen	Generale das Regulatif wegen des Preises der Haasen betreffend  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/ludwig_haasen_1794	Gebrauchsliteratur: Recht	Ludwig Eugen (Württemberg): Generale das Regulatif wegen des Preises der Haasen betreffend. Stuttgart, 1794.
nn_nrhz171i_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz171i_1848	Zeitung	Neue Rheinische Zeitung. Nr. 171. Köln, 17. Dezember 1848.
marperger_hutmacher_1719.txt	1719	Marperger, Paul Jacob	Beschreibung Des Hutmacher-Handwercks – Und alles dessen Was so wohl moraliter als politicè und historicè von denen Hüten, deren Zubereitung und vielerhand Sorten, Sonderlich aber Von der Hutmacher Jhren Statutis, Handwercks-Gebräuchen und Rechten zu wissen ist (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/marperger_hutmacher_1719	Wissenschaft: Ökonomie	Marperger, Paul Jacob: Beschreibung Des Hutmacher-Handwercks. Altenburg, 1719.  [SLUB Dresden, SLUB Dresden, Technol.B.493]
cramer_mutter_1874.txt	1874	Cramer, Wilhelm	Der christliche Vater wie er sein und was er thun soll – nebst einem Anhange von Gebeten für denselben (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/cramer_mutter_1874	Gebrauchsliteratur: Theologie	Cramer, Wilhelm: Der christliche Vater wie er sein und was er thun soll. Nebst einem Anhange von Gebeten für denselben. Dülmen, 1874.
636641031.txt	1652	Dach, Simon	Lebens- und Todes-Kampff frommer Christen Nach anleitung des Leich-Texts aus der Offenb. Johan. 14. v. 13. Bey hochbetrauerlichem aber seligem Abschied aus dieser Welt Des Weiland Edlen/ GrosAchtbarn und Hochweisen Herrn Johann Krintzen/ dieser löbl. Stad Kneiphoff wollverordneten und löbwürdigen Burgermeisters uff Schanwitz/ und LichtenFeld Erbsassen etc. – Welcher in hertzlicher Anruffung seines Erlösers 1652. 23. Mey selig eingeschlaffen/ Und bald darauff 27. selbten Monats Christlichem Brauche nach in der ThumKirchen seinem Rhubettlein der Erden eingebracht (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/636641031	Gebrauchsliteratur: Gelegenheitsschrift:Tod	Dach, Simon: Lebens- und Todes-Kampff frommer Christen Nach anleitung des Leich-Texts aus der Offenb. Johan. 14. v. 13. Bey hochbetrauerlichem aber seligem Abschied aus dieser Welt Des Weiland Edlen/ GrosAchtbarn und Hochweisen Herrn Johann Krintzen/ dieser löbl. Stad Kneiphoff wollverordneten und löbwürdigen Burgermeisters uff Schanwitz/ und LichtenFeld Erbsassen etc. Königsberg, 1652.
nn_nrhz143_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz143_1848	Zeitung	Neue Rheinische Zeitung. Nr. 143. Köln, 15. November 1848.
nn_augsburg75_1871.txt	1871		Allgemeine Zeitung – Nr. 75 (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_augsburg75_1871	Zeitung	Allgemeine Zeitung. Nr. 75. Augsburg (Bayern), 16. März 1871.
saar_kriegsdienste_1672.txt	1672	Saar, Johann Jacob	Ost-Indianische Funfzehen-Jährige Kriegs-Dienste  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/saar_kriegsdienste_1672	Gebrauchsliteratur: Reiseliteratur	Saar, Johann Jacob: Ost-Indianische Funfzehen-Jährige Kriegs-Dienste. Nürnberg, 1672.
weigel_moralweissheit_1674.txt	1674	Weigel, Erhard	Arithmetische Beschreibung der Moral-Weißheit von Personen und Sachen Worauf das gemeine Wesen bestehet – Nach der Pythagorischen CreutzZahl in lauter tetractysche Glieder eingetheilet (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/weigel_moralweissheit_1674	Wissenschaft: Philosophie	Weigel, Erhard: Arithmetische Beschreibung der Moral-Weißheit von Personen und Sachen Worauf das gemeine Wesen bestehet. Jena, 1674. [HAB Wolfenbüttel, HAB Wolfenbüttel, QuN 265 (1)]
opitz_buch_1624.txt	1624	Opitz, Martin	Buch von der Deutschen Poeterey – Jn welchem alle jhre eigenschafft vnd zuegehör gründtlich erzehlet/ vnd mit exempeln außgeführet wird (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/opitz_buch_1624	Gebrauchsliteratur: Verslehre	Opitz, Martin: Buch von der Deutschen Poeterey. Breslau u. a., 1624. [SUB Göttingen, SUB Göttingen, 8 P GERM I, 5 RARA]
