id	year	author	title	filename	link
1879__Edmondo De Amicis__Ricordi di Parigi.txt	1879	Edmondo De Amicis	Ricordi di Parigi		https://www.gutenberg.org/ebooks/17853
1875__Anton Giulio Barrili__La notte del Commendatore.txt	1875	Anton Giulio Barrili	La notte del Commendatore		https://www.gutenberg.org/ebooks/
1834__Nocturno Napolitano__Opera nova amorosa, vol. 1.txt	1834	Nocturno Napolitano	Opera nova amorosa, vol. 1		https://www.gutenberg.org/ebooks/30738
1854__Cesare Monteverde__I demagoghi.txt	1854	Cesare Monteverde	I demagoghi		https://www.gutenberg.org/ebooks/22026
1886__Giuseppe Giacosa__Novelle e paesi valdostani.txt	1886	Giuseppe Giacosa	Novelle e paesi valdostani		https://www.gutenberg.org/ebooks/36165
1911__Salvatore Di Giacomo__Mattinate napoletane.txt	1911	Salvatore Di Giacomo	Mattinate napoletane		https://www.gutenberg.org/ebooks/29873
1897__Leopoldo Armaroli__La rivoluzione di Milano dell'Aprile 1814.txt	1897	Leopoldo Armaroli	La rivoluzione di Milano dell ' Aprile 1814		https://www.gutenberg.org/ebooks/36212
1888__Giuseppe Giacosa__Resa a discrezione.txt	1888	Giuseppe Giacosa	Resa a discrezione		https://www.gutenberg.org/ebooks/33865
1901__Emilio De Marchi__Col fuoco non si scherza.txt	1901	Emilio De Marchi	Col fuoco non si scherza		https://www.gutenberg.org/ebooks/19059
1914__Luigi Capuana__Eh! la vita.....txt	1914	Luigi Capuana	Eh! la vita....		https://www.gutenberg.org/ebooks/42698
1611__Accademici Intronati di Siena__Gl'ingannati.txt	1611	Accademici Intronati di Siena	Gl ' ingannati		https://www.gutenberg.org/ebooks/34641
1897__Giuseppe Chiarini__Ugo Foscolo (1778-1827).txt	1897	Giuseppe Chiarini	Ugo Foscolo (1778-1827)		https://www.gutenberg.org/ebooks/43175
1850__Ferdinando Petruccelli della Gattina__Il Concilio.txt	1850	Ferdinando Petruccelli della Gattina	Il Concilio		https://www.gutenberg.org/ebooks/46736
1918__Filippo Tommaso Marinetti__I manifesti del futurismo.txt	1918	Filippo Tommaso Marinetti	I manifesti del futurismo		https://www.gutenberg.org/ebooks/28144
1895__Manfredo Cagni__Egitto.txt	1895	Manfredo Cagni	Egitto		https://www.gutenberg.org/ebooks/45948
1817__J. C. L. Simondo Sismondi__Storia delle repubbliche italiane dei secoli di mezzo, v. 14 (of 16).txt	1817	J. C. L. Simondo Sismondi	Storia delle repubbliche italiane dei secoli di mezzo, v. 14 (of 16)		https://www.gutenberg.org/ebooks/44363
1886__Emilio Raga__I drammi de' campi.txt	1886	Emilio Raga	I drammi de '  campi		https://www.gutenberg.org/ebooks/25587
1875__Antonio Caccianiga__Il bacio della contessa Savina.txt	1875	Antonio Caccianiga	Il bacio della contessa Savina		https://www.gutenberg.org/ebooks/35065
1824__Carlo Botta__Storia d'Italia dal 1789 al 1814, tomo VI.txt	1824	Carlo Botta	Storia d ' Italia dal 1789 al 1814, tomo VI		https://www.gutenberg.org/ebooks/45906
1892__Jarro__La Principessa.txt	1892	Jarro	La Principessa		https://www.gutenberg.org/ebooks/19430
1903__Giovanni Pascoli__La mirabile visione.txt	1903	Giovanni Pascoli	La mirabile visione		https://www.gutenberg.org/ebooks/46082
1877__Anton Giulio Barrili__Una notte bizzarra.txt	1877	Anton Giulio Barrili	Una notte bizzarra		https://www.gutenberg.org/ebooks/29636
1922__Nino Martoglio__Cappidazzu paga tuttu.txt	1922	Nino Martoglio	Cappidazzu paga tuttu		https://www.gutenberg.org/ebooks/35804
1884__La Marchesa Colombi__Senz'Amore.txt	1884	La Marchesa Colombi	Senz ' Amore		https://www.gutenberg.org/ebooks/17852
1881__Anton Giulio Barrili__L'undecimo comandamento.txt	1881	Anton Giulio Barrili	L ' undecimo comandamento		https://www.gutenberg.org/ebooks/28321
1889__Federico De Roberto__Ermanno Raeli.txt	1889	Federico De Roberto	Ermanno Raeli		https://www.gutenberg.org/ebooks/25614
1910__Roberto Bracco__Il piccolo santo.txt	1910	Roberto Bracco	Il piccolo santo		https://www.gutenberg.org/ebooks/46164
1860__Giuseppe Regaldi__La Dora.txt	1860	Giuseppe Regaldi	La Dora		https://www.gutenberg.org/ebooks/46717
1817__J. C. L. Simondo Sismondi__Storia delle repubbliche italiane dei secoli di mezzo, Tomo V (of 16).txt	1817	J. C. L. Simondo Sismondi	Storia delle repubbliche italiane dei secoli di mezzo, Tomo V (of 16)		https://www.gutenberg.org/ebooks/43804
1817__J. C. L. Simondo Sismondi__Storia delle repubbliche italiane dei secoli di mezzo, Tomo III (of 16).txt	1817	J. C. L. Simondo Sismondi	Storia delle repubbliche italiane dei secoli di mezzo, Tomo III (of 16)		https://www.gutenberg.org/ebooks/43802
1848__Massimo D'Azeglio__Dell'Emancipazione civile degl'Israeliti.txt	1848	Massimo D ' Azeglio	Dell ' Emancipazione civile degl ' Israeliti		https://www.gutenberg.org/ebooks/42669
1873__Edmondo De Amicis__Spagna.txt	1873	Edmondo De Amicis	Spagna		https://www.gutenberg.org/ebooks/30605
