id	year	author	title	link
toll003bijd01_01.nederlab.folia.txt	1817	hendrik tollens	bij de geboorte van den jongen prins	https://www.dbnl.org/titels/titel.php?id=toll003bijd01
_ver061verz02_01.nederlab.folia.txt	1839	anoniem	verzameling van gezelschaps-liederen	https://www.dbnl.org/titels/titel.php?id=_ver061verz02
leen016vanp01_01.nederlab.folia.txt	1898	fredericus hendrikus van leent	van prinsesje tot koningin	https://www.dbnl.org/titels/titel.php?id=leen016vanp01
kerc007voll03_01.nederlab.folia.txt	1869	pieter frans van kerckhoven	volledige werken. deel 2	https://www.dbnl.org/titels/titel.php?id=kerc007voll03
hich002prik01_01.nederlab.folia.txt	1909	nynke van hichtum	'prikkellitteratuur'	https://www.dbnl.org/titels/titel.php?id=hich002prik01
busk001litt02_01.nederlab.folia.txt	1884	cd. busken huet	litterarische fantasien en kritieken. deel 2	https://www.dbnl.org/titels/titel.php?id=busk001litt02
_pop002pope01_01.nederlab.folia.txt	ca. 1880-1890	anoniem	de pop en haar toilet	https://www.dbnl.org/titels/titel.php?id=_pop002pope01
_gid003191701_01.nederlab.folia.txt	1917	gids. almanak voor suriname, de	de gids. almanak voor suriname 1917	https://www.dbnl.org/titels/titel.php?id=_gid003191701
maur005burg01_01.nederlab.folia.txt	1901	justus van maurik	burgerluidjes	https://www.dbnl.org/titels/titel.php?id=maur005burg01
koen006wege01_01.nederlab.folia.txt	1916	marie koenen	de wegen	https://www.dbnl.org/titels/titel.php?id=koen006wege01
_nie104nieu01_01.nederlab.folia.txt	ca. 1820	anoniem	een nieuw lied, van de doctor yzerbaard	https://www.dbnl.org/titels/titel.php?id=_nie104nieu01
kerc007voll08_01.nederlab.folia.txt	1870	pieter frans van kerckhoven	volledige werken. deel 7	https://www.dbnl.org/titels/titel.php?id=kerc007voll08
list002vand01_01.nederlab.folia.txt	1920	alfred listal	van de wortelkindertjes	https://www.dbnl.org/titels/titel.php?id=list002vand01
ansl002brav01_01.nederlab.folia.txt	1810	nicolaas anslijn nz.	de brave hendrik	https://www.dbnl.org/titels/titel.php?id=ansl002brav01
_alm009186001_01.nederlab.folia.txt	1860	almanak voor de nederlandsche west-indische bezittingen, en de kust van guinea	almanak voor de nederlandsche west-indische bezittingen, en de kust van guinea. jaargang 1860	https://www.dbnl.org/titels/titel.php?id=_alm009186001
here001nede05_01.nederlab.folia.txt	1862	jacob frans johan heremans	nederlandsche metriek	https://www.dbnl.org/titels/titel.php?id=here001nede05
nijl002gedi01_01.nederlab.folia.txt	1896	j. aleida nijland	gedichten uit het haagsche liederhandschrift	https://www.dbnl.org/titels/titel.php?id=nijl002gedi01
