id	year	author	title	tags	link
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052364	1844	ALISON, Archibald	[History of Europe from the commencement of the French Revolution, etc.]
000052370	1848	ALISON, Archibald	Atlas to accompany Alison's History of Europe. Constructed and arranged under the direction of Mr. A. K. Johnston, etc. [With supplement.]
