ge94	1862__28__Various__Continental Monthly, Vol. I, No. V, May, 1862_distribution_gutenberg.txt
ge95	1916__2__Mabel Cook Cole__Philippine Folk Tales_distribution_gutenberg.txt
ge96	1899__23__Anne Reeve Aldrich__A Village Ophelia and Other Stories_distribution_gutenberg.txt
ge97	1838__20__James Fenimore Cooper__Home as Found_distribution_gutenberg.txt
ge98	1873__8__R. F. Dearborn__Saratoga and How to See It_distribution_gutenberg.txt
ge99	1837__33__Benjamin Disraeli__Venetia_distribution_gutenberg.txt
ge100	1908__34__Bertrand W. Sinclair__Raw Gold_distribution_gutenberg.txt
ge101	1876__25__Various__Lippincott's Magazine of Popular Literature and Science,  April, 1876._distribution_gutenberg.txt
ge102	1921__7__Donald Maxwell__A Dweller in Mesopotamia_distribution_gutenberg.txt
ge103	1880__59__Richard Jefferies__Hodge and His Masters_distribution_gutenberg.txt
ge104	1840__0__Edward Feild__Extracts from a Journal of a Voyage of Visitation in the "Hawk," 1859_distribution_gutenberg.txt
ge105	1904__7__Nicholas Carter__With Links of Steel_distribution_gutenberg.txt
ge106	1859__33__Various__Atlantic Monthly, Vol. 3, No. 18, April, 1859_distribution_gutenberg.txt
ge107	1915__16__Annie Heloise Abel__The American Indian as Participant in the Civil War_distribution_gutenberg.txt
ge108	1918__7__Gertrude Atherton__The White Morning_distribution_gutenberg.txt
ge109	1906__20__Mrs. Humphry Ward__Fenwick's Career_distribution_gutenberg.txt
ge110	1854__45__Sue Petigru Bowen__The Actress in High Life_distribution_gutenberg.txt
ge111	1917__7__Martin Brown Ruud__An Essay Toward a History of Shakespeare in Norway_distribution_gutenberg.txt
ge112	1922__38__Edwin Bjorkman__The Soul of a Child_distribution_gutenberg.txt
ge113	1866__2__William Holmes McGuffey__McGuffey's First Eclectic Reader, Revised Edition_distribution_gutenberg.txt
ge114	1906__44__Walter W. Greg__Pastoral Poetry and Pastoral Drama_distribution_gutenberg.txt
ge115	1877__10__John Richard Green__History of the English People, Volume I (of 8)_distribution_gutenberg.txt
ge116	1909__25__Various__Atlantic Monthly, Vol. 7, No. 44, June, 1861_distribution_gutenberg.txt
ge117	1832__0__Various__The Mirror of Literature, Amusement, and Instruction, No. 578_distribution_gutenberg.txt
ge118	1823__5__Various__Essays in Liberalism_distribution_gutenberg.txt
ge119	1920__10__A. Clutton-Brock__Essays on Art_distribution_gutenberg.txt
ge120	1876__4__Francis Burnand__Punch, Volume 101, September 19, 1891_distribution_gutenberg.txt
ge121	1909__14__Miss Parloa__Chocolate and Cocoa Recipes and Home Made Candy Recipes_distribution_gutenberg.txt
ge122	1916__31__Anton Chekhov__The Bishop and Other Stories_distribution_gutenberg.txt
ge123	1912__2__Various__Obed Hussey_distribution_gutenberg.txt
ge124	1918__21__Mrs. Humphrey Ward__Elizabeth's Campaign_distribution_gutenberg.txt
ge125	1738__0__Anonymous__The Twelve Tables_distribution_gutenberg.txt
ge126	1827__9__Edmund Burke__The Works of the Right Honourable Edmund Burke, Vol. VII. (of 12)_distribution_gutenberg.txt
ge127	1930__12__Laura Lee Hope__The Bobbsey Twins in a Great City_distribution_gutenberg.txt
ge128	1862__18__Cassiodorus (AKA Magnus Aurelius Cassiodorus Senator)__The Letters of Cassiodorus_distribution_gutenberg.txt
ge129	1897__0__Joseph Ladue__Klondyke Nuggets_distribution_gutenberg.txt
ge130	1891__0__Allen Wilson Porterfield__Graf von Loeben and the Legend of Lorelei_distribution_gutenberg.txt
ge131	1859__0__F. Haverfield__Roman Britain in 1914_distribution_gutenberg.txt
ge132	1871__50__M. E. Braddon__Fenton's Quest_distribution_gutenberg.txt
ge133	1923__14__H. A. Cody__The King's Arrow_distribution_gutenberg.txt
ge134	1908__2__Clyde Fitch__The Girl with the Green Eyes_distribution_gutenberg.txt
ge135	1913__18__Anne Austin__Murder at Bridge_distribution_gutenberg.txt
ge136	1899__2__Thomas Perkins__Bell's Cathedrals: Wimborne Minster and Christchurch Priory_distribution_gutenberg.txt
ge137	1825__11__Various__The Wonders of Prayer_distribution_gutenberg.txt
ge138	1876__4__Various__Punch, or the London Charivari, Vol. 153, Aug 15, 1917_distribution_gutenberg.txt
ge139	1895__40__Edward Washburn Hopkins__The Religions of India_distribution_gutenberg.txt
ge140	1858__28__James Anthony Froude__The Reign of Henry the Eighth, Volume 1 (of 3)_distribution_gutenberg.txt
ge141	1876__2__Various__Punch, Or The London Charivari, Volume 102, July 2, 1892_distribution_gutenberg.txt
ge142	1882__15__Lilian Bell__At Home with the Jardines_distribution_gutenberg.txt
ge143	1921__23__Margaret Rebecca Piper__Wild Wings_distribution_gutenberg.txt
ge144	1924__45__Florence L. Barclay__The White Ladies of Worcester_distribution_gutenberg.txt
ge145	1898__7__Stuart Dodgson Collingwood__The Life and Letters of Lewis Carroll_distribution_gutenberg.txt
ge146	1922__84__Fannie Hurst__The Vertical City_distribution_gutenberg.txt
ge147	1887__2__Mowbray Morris__Claverhouse_distribution_gutenberg.txt
ge148	1884__2__Various__Bay State Monthly, Volume I, No. 2, February, 1884_distribution_gutenberg.txt
ge149	1897__0__Various__The Great Round World and What Is Going On In It, Vol. 1, No. 16, February 25, 1897_distribution_gutenberg.txt
ge150	1893__8__Jonas Lie__Weird Tales from Northern Seas_distribution_gutenberg.txt
ge151	1728__23__Daniel Defoe__Military Memoirs of Capt. George Carleton_distribution_gutenberg.txt
ge152	1921__27__William MacLeod Raine__Gunsight Pass_distribution_gutenberg.txt
ge153	1914__30__Maurice Leblanc__The Teeth of the Tiger_distribution_gutenberg.txt
ge154	1913__26__G. K. Chesterton__The Victorian Age in Literature_distribution_gutenberg.txt
ge155	1925__2__Ruth Royce__The Children of France_distribution_gutenberg.txt
ge156	1894__35__Philip Verrill Mighels__The Furnace of Gold_distribution_gutenberg.txt
ge157	1912__29__Max Rittenberg__Swirling Waters_distribution_gutenberg.txt
ge158	1917__0__Benjamin Franklin Schappelle__The German Element in Brazil_distribution_gutenberg.txt
ge159	1912__60__Christopher Morley__Shandygaff_distribution_gutenberg.txt
ge160	1910__51__James Huneker__Promenades of an Impressionist_distribution_gutenberg.txt
ge161	1890__1__Various__Rig Veda Americanus_distribution_gutenberg.txt
ge162	1892__22__William Winter__Shadows of the Stage_distribution_gutenberg.txt
ge163	1865__9__Various__Punch, or the London Charivari, Vol. 1, October 23, 1841_distribution_gutenberg.txt
ge164	1857__33__George A. Lawrence__Guy Livingstone;_distribution_gutenberg.txt
ge165	1912__27__Lafcadio Hearn__Books and Habits from the Lectures of Lafcadio Hearn_distribution_gutenberg.txt
ge166	1842__5__Various__Punch, or the London Charivari, Vol. 1, September 12, 1841_distribution_gutenberg.txt
ge167	1808__2__Raphael Holinshed__Chronicles of England, Scotland and Ireland (2 of 6): England (5 of 12)_distribution_gutenberg.txt
ge168	1921__32__Honoré Willsie Morrow__The Heart of the Desert_distribution_gutenberg.txt
ge169	1909__12__George Bryce__The Romantic Settlement of Lord Selkirk's Colonists_distribution_gutenberg.txt
ge170	1896__8__Samuel Daniel and Henry Constable__Elizabethan Sonnet-Cycles_distribution_gutenberg.txt
ge171	1835__40__Captain Frederick Marryat__The Pacha of Many Tales_distribution_gutenberg.txt
ge172	1914__21__Mary Hastings Bradley__The Palace of Darkened Windows_distribution_gutenberg.txt
ge173	1909__11__E. F. Benson__The Blotting Book_distribution_gutenberg.txt
ge174	1894__31__William Lewis Manly__Death Valley in '49_distribution_gutenberg.txt
ge175	1918__3__L. O. Howard and F. C. Bishopp__The House Fly and How to Suppress It_distribution_gutenberg.txt
ge176	1810__7__Jean Racine__Esther_distribution_gutenberg.txt
ge177	1899__37__J. S. LeFanu__Uncle Silas_distribution_gutenberg.txt
ge178	1863__18__Various__The Continental Monthly, Vol. III, No. V,  May, 1863_distribution_gutenberg.txt
ge179	1851__32__Mir Amman of Dihli__Bagh O Bahar, Or Tales of the Four Darweshes_distribution_gutenberg.txt
ge180	1916__1__John Victor Lacroix__Lameness of the Horse_distribution_gutenberg.txt
ge181	1895__18__H. W. Nevinson__Ladysmith_distribution_gutenberg.txt
ge182	1911__12__Ellen Churchill Semple__Influences of Geographic Environment_distribution_gutenberg.txt
ge183	1915__45__William J. Locke__Jaffery_distribution_gutenberg.txt
ge184	1908__0__Sedley Lynch Ware__The Elizabethan Parish in its Ecclesiastical and Financial Aspects_distribution_gutenberg.txt
ge185	1909__29__Cecil Henry Bompas__Folklore of the Santal Parganas_distribution_gutenberg.txt
ge186	1901__56__Adolph Harnack__History of Dogma, Volume 1 (of 7)_distribution_gutenberg.txt
ge187	1876__49__Dutton Cook__A Book of the Play_distribution_gutenberg.txt
ge188	1823__2__Various__The Mirror of Literature, Amusement, and Instruction No. 485_distribution_gutenberg.txt
ge189	1845__9__Thomas Potts__Discovery of Witches_distribution_gutenberg.txt
ge190	1909__18__Edgar Thurston__Castes and Tribes of Southern India_distribution_gutenberg.txt
ge191	1918__31__Mary Johnston__Foes_distribution_gutenberg.txt
ge192	1911__24__Various__The Empire Annual for Girls, 1911_distribution_gutenberg.txt
ge193	1888__10__John Lord__Beacon Lights of History, Volume X_distribution_gutenberg.txt
ge194	1839__11__Charles Seignobos__History Of Ancient Civilization_distribution_gutenberg.txt
ge195	1916__21__Lord Charnwood__Abraham Lincoln_distribution_gutenberg.txt
ge196	1876__3__Various__Punch, Or The London Charivari, Vol. 101, November 14th, 1891_distribution_gutenberg.txt
ge197	1844__12__Charlotte M. Yonge__Abbeychurch_distribution_gutenberg.txt
ge198	1927__15__Emerson Hough__The Covered Wagon_distribution_gutenberg.txt
ge199	1866__3__Bureau of Ordnance, USN__Ordnance Instructions for the United States Navy._distribution_gutenberg.txt
ge200	1770__6__David Hume__The History of England, Volume I_distribution_gutenberg.txt
ge201	1920__54__Willa Cather__Youth and the Bright Medusa_distribution_gutenberg.txt
ge202	1870__5__Various__Punchinello, Vol. 1, No. 23,  September 3, 1870_distribution_gutenberg.txt
ge203	1867__31__Various__The Atlantic Monthly, Volume 20, No. 117, July, 1867._distribution_gutenberg.txt
ge204	1863__20__Various__Atlantic Monthly, Vol. XII. September, 1863, No. LXXI._distribution_gutenberg.txt
ge205	1881__8__Garrick Mallery__Sign Language Among North American Indians Compared With That Among Other Peoples And Deaf-Mutes_distribution_gutenberg.txt
ge206	1895__5__Mrs. Humphry Ward__The Story of Bessie Costrell._distribution_gutenberg.txt
ge207	1824__23__Voltaire__Voltaire's Philosophical Dictionary_distribution_gutenberg.txt
ge208	1818__31__Isaac Disraeli__Literary Character of Men of Genius_distribution_gutenberg.txt
ge209	1894__10__Bliss Carman and Richard Hovey__Songs from Vagabondia_distribution_gutenberg.txt
ge210	1895__11__Mary Louisa S. Molesworth__"Us"_distribution_gutenberg.txt
ge211	1920__2__Roland Allen__Missionary Survey As An Aid To Intelligent Co-Operation In Foreign Missions_distribution_gutenberg.txt
ge212	1797__5__Matilda Betham__Elegies and Other Small Poems_distribution_gutenberg.txt
ge213	1768__0__Various__How to Write a Play_distribution_gutenberg.txt
ge214	1922__68__Margaret Wade Campbell Deland__The Vehement Flame_distribution_gutenberg.txt
ge215	1854__8__Various__Punch, Or The London Charivari, Vol. 103, Sep. 24, 1892_distribution_gutenberg.txt
ge216	1896__0__Cosmos Mindeleff__Aboriginal Remains in Verde Valley, Arizona_distribution_gutenberg.txt
ge217	1893__1__Various__The American Missionary - Volume 50, No. 6, June 1896_distribution_gutenberg.txt
ge218	1889__5__Benjamin Franklin__The Autobiography of Benjamin Franklin_distribution_gutenberg.txt
ge219	1823__0__Various__The Mirror of Literature, Amusement, and Instruction, No. 474_distribution_gutenberg.txt
ge220	1890__83__H. M. Gwatkin__The Arian Controversy_distribution_gutenberg.txt
ge221	1909__39__F. W. Bain__An Essence Of The Dusk, 5th Edition_distribution_gutenberg.txt
ge222	1830__108__Various__A Collection of Old English Plays, Vol. III_distribution_gutenberg.txt
ge223	1912__19__Charles Egbert Craddock__The Ordeal_distribution_gutenberg.txt
ge224	1891__7__Howard C. Hillegas__With the Boer Forces_distribution_gutenberg.txt
ge225	1898__16__William George Waters__Jerome Cardan_distribution_gutenberg.txt
ge226	1907__11__Francis Jameson Rowbotham__Story-Lives of Great Musicians_distribution_gutenberg.txt
ge227	1855__21__Herman Melville__Israel Potter_distribution_gutenberg.txt
ge228	1912__13__Nellie McClung__The Black Creek Stopping-House_distribution_gutenberg.txt
ge229	1883__15__Annie Besant__The Freethinker's Text Book, Part II._distribution_gutenberg.txt
ge230	1897__0__Various__The Great Round World and What Is Going On In It, Vol. 1, No. 26, May 6, 1897_distribution_gutenberg.txt
ge231	1921__36__Lewis E. Theiss__The Young Wireless Operator--As a Fire Patrol_distribution_gutenberg.txt
ge232	1884__7__Frank R. Stockton__The Rudder Grangers Abroad and Other Stories_distribution_gutenberg.txt
ge233	1915__14__Agnes C. Laut__The Canadian Commonwealth_distribution_gutenberg.txt
ge234	1890__24__Watson Smith__The Chemistry of Hat Manufacturing_distribution_gutenberg.txt
ge235	1820__7__Thomas Jefferson__Memoir, Correspondence, And Miscellanies, From The Papers Of Thomas Jefferson_distribution_gutenberg.txt
ge236	1907__48__Una L. Silberrad__The Good Comrade_distribution_gutenberg.txt
ge237	1856__27__John Turvill Adams__The Lost Hunter_distribution_gutenberg.txt
ge238	1864__91__William H. Thomes__The Gold Hunter's Adventures_distribution_gutenberg.txt
ge239	1894__0__J. W. Clark__Libraries in the Medieval and Renaissance Periods_distribution_gutenberg.txt
ge240	1908__10__Joseph Conrad__The Point Of Honor_distribution_gutenberg.txt
ge241	1920__2__James Branch Cabell__Taboo_distribution_gutenberg.txt
ge242	1844__5__Josephine Preston Peabody__The Singing Man_distribution_gutenberg.txt
ge243	1900__0__Edward Channing__A Short History of the United States_distribution_gutenberg.txt
ge244	1904__3__William Ritchie Sorley__Recent Tendencies in Ethics_distribution_gutenberg.txt
ge245	1908__21__Frederick John Lazell__Some Spring Days in Iowa_distribution_gutenberg.txt
ge246	1904__6__Natalie Harris Hammond__A Woman's Part in a Revolution_distribution_gutenberg.txt
ge247	1919__26__Walter Runciman__Drake, Nelson and Napoleon_distribution_gutenberg.txt
ge248	1897__6__Grover Cleveland__A Compilation of the Messages and Papers of the Presidents_distribution_gutenberg.txt
ge249	1852__2__Various__Chambers's Edinburgh Journal, No. 419, New Series, January 10, 1852_distribution_gutenberg.txt
ge250	1899__24__Edward Noyes Westcott__David Harum_distribution_gutenberg.txt
ge251	1907__25__John Holland Rose__The Life of Napoleon I (Volume 1 of 2)_distribution_gutenberg.txt
ge252	1889__9__Theodore Roosevelt__The Winning of the West, Volume Three_distribution_gutenberg.txt
ge253	1890__3__Various__Punch, Or The London Charivari, Vol. 99., Nov. 22, 1890_distribution_gutenberg.txt
ge254	1889__9__Theodore Roosevelt__The Winning of the West, Volume Two_distribution_gutenberg.txt
ge255	1864__29__Raphael Semmes__The Cruise of the Alabama and the Sumter_distribution_gutenberg.txt
ge256	1746__12__Anonymous__The Latin & Irish Lives of Ciaran_distribution_gutenberg.txt
ge257	1908__15__Nathaniel Pitt Langford__The Discovery of Yellowstone Park_distribution_gutenberg.txt
ge258	1913__23__Gerald Stanley Lee__Crowds_distribution_gutenberg.txt
ge259	1903__4__Christiaan Rudolf de Wet__Three Years' War_distribution_gutenberg.txt
ge260	1876__12__Various__Punch, or the London Charivari, Vol. 156, May 14, 1919_distribution_gutenberg.txt
ge261	1913__25__S. Weir Mitchell__Westways_distribution_gutenberg.txt
ge262	1922__28__Herbert Quick__Vandemark's Folly_distribution_gutenberg.txt
ge263	1873__0__Charles Bertram Black__Itinerary through Corsica_distribution_gutenberg.txt
ge264	1918__16__Jackson Gregory__Six Feet Four_distribution_gutenberg.txt
ge265	1917__34__Grace Livingston Hill Lutz__The Witness_distribution_gutenberg.txt
ge266	1909__51__Various__Childhood's Favorites and Fairy Stories_distribution_gutenberg.txt
ge267	1849__4__David Hume__The History of England in Three Volumes, Vol.I., Part C._distribution_gutenberg.txt
ge268	1918__21__Frank  Swinnerton__Nocturne_distribution_gutenberg.txt
ge269	1884__6__Mrs. E. R. Pitman__Elizabeth Fry_distribution_gutenberg.txt
ge270	1890__1__Unknown__MacMillan & Co.'s General Catalogue of Works in the Departments of History, Biography, Travels, and Belles Lettres, December, 1869_distribution_gutenberg.txt
ge271	1889__26__Various__The Atlantic Monthly, Volume 16, No. 96, October 1865_distribution_gutenberg.txt
ge272	1900__4__John G. Bourinot__Canada under British Rule 1760-1900_distribution_gutenberg.txt
ge273	1908__15__Anatole France__A Mummer's Tale_distribution_gutenberg.txt
ge274	1856__12__Samuel Simon Schmucker__American Lutheranism Vindicated; or, Examination of the Lutheran Symbols, on Certain Disputed Topics_distribution_gutenberg.txt
ge275	1869__19__Henry Blackburn__Normandy Picturesque_distribution_gutenberg.txt
ge276	1890__98__Jules Verne__The Moon-Voyage_distribution_gutenberg.txt
ge277	1869__57__Translated by Eirikr Magnusson and William Morris__The Story of Grettir The Strong_distribution_gutenberg.txt
ge278	1921__4__Zona Gale__Miss Lulu Bett_distribution_gutenberg.txt
ge279	1908__10__Henry Frederick Cope__Levels of Living_distribution_gutenberg.txt
ge280	1916__27__E. Alexander Powell__Italy at War and the Allies in the West_distribution_gutenberg.txt
ge281	1927__33__Stanley Weyman__The Long Night_distribution_gutenberg.txt
ge282	1852__14__Eugène Sue__A Cardinal Sin_distribution_gutenberg.txt
ge283	1827__31__Charles Brockden Brown__Arthur Mervyn_distribution_gutenberg.txt
ge284	1884__17__Various__The Unpopular Review, Volume II Number 3_distribution_gutenberg.txt
ge285	1918__29__Alfred Ollivant__Boy Woodburn_distribution_gutenberg.txt
ge286	1922__104__'Abdu'l-Bahá__The Promulgation of Universal Peace_distribution_gutenberg.txt
ge287	1789__11__Thomas Chatterton__The Rowley Poems_distribution_gutenberg.txt
ge288	1850__22__Thomas de Quincey__Miscellaneous Essays_distribution_gutenberg.txt
ge289	1897__0__Thomas De Quincey__De Quincey's Revolt of the Tartars_distribution_gutenberg.txt
ge290	1886__1__Henry M. Brooks__The Olden Time Series, Vol. 5: Some Strange and Curious Punishments_distribution_gutenberg.txt
ge291	1873__30__Julian Hawthorne__Bressant_distribution_gutenberg.txt
ge292	1891__27__John Watson__Poachers and Poaching_distribution_gutenberg.txt
ge293	1911__30__John L. Stoddard__John L. Stoddard's Lectures, Vol. 10 (of 10)_distribution_gutenberg.txt
ge294	1912__9__Nephi Anderson__Story of Chester Lawrence_distribution_gutenberg.txt
ge295	1914__63__Harold Begbie__The Bed-Book of Happiness_distribution_gutenberg.txt
