id	year	author	title	tags	link
1921__80__Various__The Best Short Stories of 1921 and the Yearbook of the American Short Story_distribution_gutenberg.txt	1921	Various	The Best Short Stories of 1921 and the Yearbook of the American Short Story		https://www.gutenberg.org/ebooks/
1872__50__Frank Richard Stockton__Round-about Rambles in Lands of Fact and Fancy_distribution_gutenberg.txt	1872	Frank Richard Stockton	Round-about Rambles in Lands of Fact and Fancy		https://www.gutenberg.org/ebooks/17582
1892__33__John Miller__The Workingman's Paradise_distribution_gutenberg.txt	1892	John Miller	The Workingman ' s Paradise		https://www.gutenberg.org/ebooks/16366
1871__27__James D. McCabe, Jr.__Great Fortunes, and How They Were Made_distribution_gutenberg.txt	1871	James D. McCabe, Jr.	Great Fortunes, and How They Were Made		https://www.gutenberg.org/ebooks/
1900__9__Richard Le Gallienne__The Worshipper of the Image_distribution_gutenberg.txt	1900	Richard Le Gallienne	The Worshipper of the Image		https://www.gutenberg.org/ebooks/10812
1605__28__H.E. Blair__The Philippine Islands, 1493-1898: Volume XVI, 1609_distribution_gutenberg.txt	1605	H.E. Blair	The Philippine Islands, 1493-1898: Volume XVI, 1609		https://www.gutenberg.org/ebooks/15157
1916__5__Various__Punch, Volume 153, July 11, 1917_distribution_gutenberg.txt	1916	Various	Punch, Volume 153, July 11, 1917		https://www.gutenberg.org/ebooks/10143
1899__61__Dutton Payne__Mistress Penwick_distribution_gutenberg.txt	1899	Dutton Payne	Mistress Penwick		https://www.gutenberg.org/ebooks/12256
1915__30__Frederick Palmer__My Year of the War_distribution_gutenberg.txt	1915	Frederick Palmer	My Year of the War		https://www.gutenberg.org/ebooks/12013
1897__2__Various__The Great Round World And What Is Going On In It, Vol. 1, No. 22, April 8, 1897_distribution_gutenberg.txt	1897	Various	The Great Round World And What Is Going On In It, Vol. 1, No. 22, April 8, 1897		https://www.gutenberg.org/ebooks/15452
1896__5__James D. Richardson__A Compilation of the Messages and Papers of the Presidents_distribution_gutenberg.txt	1896	James D. Richardson	A Compilation of the Messages and Papers of the Presidents		https://www.gutenberg.org/ebooks/11034
1918__10__Claude Fayette Bragdon__Architecture and Democracy_distribution_gutenberg.txt	1918	Claude Fayette Bragdon	Architecture and Democracy		https://www.gutenberg.org/ebooks/
1920__18__Henry Kitchell Webster__Mary Wollaston_distribution_gutenberg.txt	1920	Henry Kitchell Webster	Mary Wollaston		https://www.gutenberg.org/ebooks/11161
1915__17__Vachel Lindsay__The Art Of The Moving Picture_distribution_gutenberg.txt	1915	Vachel Lindsay	The Art Of The Moving Picture		https://www.gutenberg.org/ebooks/
1884__5__Various__Scientific American Supplement, No. 586, March 26, 1887_distribution_gutenberg.txt	1884	Various	Scientific American Supplement, No. 586, March 26, 1887		https://www.gutenberg.org/ebooks/11736
