ec575	K001204.000
ec576	K004299.000
ec577	K094698.000
ec578	K076314.000
ec579	K029137.000
ec580	K080847.000
ec581	K000691.000
ec582	K022939.006
ec583	K050503.000
ec584	K023001.002
ec585	K027697.002
ec586	K007766.000
ec587	K122077.000
ec588	K086284.000
ec589	K037020.000
ec590	K031233.000
ec591	K029946.000
ec592	K073507.000
ec593	K093080.002
ec594	K093663.000
ec595	K029302.000
ec596	K070549.000
ec597	K062088.004
ec598	K075884.000
ec599	K025217.000
ec600	K020267.000
ec601	K127141.000
ec602	K093660.001
ec603	K077907.000
ec604	K113606.007
ec605	K027670.001
ec606	K052994.002
ec607	K119273.000
ec608	K024432.000
ec609	K097486.000
ec610	K038348.000
ec611	K073751.000
ec612	K004294.000
ec613	K054688.000
ec614	K045351.000
ec615	K023308.000
ec616	K111411.000
ec617	K041482.000
ec618	K060133.000
ec619	K064501.000
ec620	K035873.000
ec621	K050347.000
ec622	K108251.000
ec623	K098900.002
ec624	K074349.000
ec625	K134234.000
ec626	K049385.002
ec627	K022898.000
ec628	K099270.001
ec629	K068147.000
ec630	K038487.000
ec631	K123482.000
ec632	K024732.000
ec633	K002590.000
ec634	K064499.001
ec635	K047225.000
ec636	K004855.000
ec637	K035634.000
ec638	K002602.000
ec639	K050330.000
ec640	K037725.000
ec641	K025595.000
ec642	K023735.000
ec643	K062151.000
ec644	K033686.000
ec645	K006382.002
ec646	K097310.002
ec647	K023052.000
ec648	K017922.000
ec649	K111746.000
ec650	K106025.000
ec651	K030995.000
ec652	K050298.000
ec653	K058247.000
ec654	K134151.000
ec655	K039366.000
ec656	K036120.000
ec657	K079640.000
ec658	K110238.002
ec659	K003620.000
ec660	K039408.000
ec661	K023596.000
ec662	K080865.000
ec663	K059581.002
ec664	K048296.000
ec665	K035592.000
ec666	K008077.000
ec667	K043186.000
ec668	K030667.000
ec669	K105792.000
ec670	K013728.000
ec671	K047209.000
ec672	K019851.001
ec673	K105084.000
ec674	K040667.000
ec675	K093080.005
ec676	K039947.000
ec677	K002213.000
ec678	K036168.003
ec679	K074274.000
ec680	K113187.003
ec681	K093080.003
ec682	K105063.000
ec683	K029293.000
ec684	K029296.000
ec685	K011545.000
ec686	K055409.000
ec687	K002508.000
ec688	K089881.000
ec689	K041393.000
ec690	K111725.000
ec691	K121233.000
ec692	K116451.000
ec693	K049569.000
ec694	K080053.002
ec695	K132097.002
ec696	K023004.004
ec697	K105564.000
ec698	K027657.000
ec699	K000435.000
ec700	K048292.000
ec701	K080053.001
ec702	K052287.003
ec703	K059933.001
ec704	K096120.019
ec705	K039684.000
ec706	K113952.005
ec707	K089860.000
ec708	K057530.003
ec709	K040910.000
ec710	K119722.000
ec711	K093482.000
ec712	K049282.000
ec713	K049221.002
ec714	K059867.002
ec715	K054680.004
ec716	K039296.000
ec717	K008390.000
ec718	K050540.000
ec719	K020253.000
ec720	K011491.000
ec721	K103473.000
ec722	K051430.000
ec723	K113633.002
ec724	K038861.000
ec725	K048524.000
ec726	K038362.000
ec727	K065082.002
ec728	K041151.000
ec729	K040720.000
ec730	K081022.000
ec731	K007102.000
ec732	K037297.000
ec733	K085977.000
ec734	K053335.000
ec735	K119146.000
ec736	K004351.000
ec737	K068720.000
ec738	K028766.000
ec739	K008784.000
ec740	K032080.003
ec741	K041419.000
ec742	K062844.000
ec743	K058784.000
ec744	K016037.000
ec745	K043166.000
ec746	K057094.000
ec747	K104099.004
ec748	K096120.007
ec749	K113132.000
ec750	K057530.002
ec751	K045312.002
ec752	K032085.000
ec753	K017106.000
ec754	K050264.000
ec755	K068010.000
ec756	K055020.000
ec757	K056679.000
ec758	K036183.000
ec759	K093660.005
ec760	K075827.000
ec761	K032686.000
ec762	K056178.002
ec763	K095313.002
ec764	K059198.000
ec765	K110818.000
ec766	K027621.001
ec767	K055619.001
ec768	K075478.000
ec769	K079568.002
ec770	K023578.000
ec771	K082269.004
ec772	K097310.005
ec773	K014954.000
ec774	K059968.000
ec775	K034471.000
ec776	K032473.000
ec777	K050294.000
ec778	K029243.000
ec779	K004745.000
ec780	K001176.000
ec781	K127176.000
ec782	K042231.000
ec783	K104099.002
ec784	K059409.000
ec785	K014420.000
ec786	K109093.003
ec787	K017652.000
ec788	K094222.000
ec789	K080543.000
ec790	K032054.000
ec791	K082699.000
ec792	K105776.001
ec793	K060981.000
ec794	K093174.004
ec795	K099277.002
ec796	K093655.002
ec797	K114523.000
ec798	K053903.004
ec799	K048355.000
ec800	K075606.002
ec801	K090734.000
ec802	K075606.003
ec803	K037835.000
ec804	K021519.000
ec805	K045218.000
ec806	K037647.000
ec807	K097310.004
ec808	K005471.000
ec809	K066629.001
ec810	K041684.002
ec811	K094198.000
ec812	K004609.000
ec813	K075014.000
ec814	K034255.000
ec815	K029306.000
ec816	K034257.000
ec817	K101847.000
ec818	K015852.000
ec819	K064569.000
ec820	K031188.000
ec821	K117762.000
ec822	K029505.000
ec823	K020994.000
ec824	K095553.000
ec825	K094902.001
ec826	K044434.000
ec827	K103915.002
ec828	K060044.002
ec829	K060328.000
ec830	K091116.003
ec831	K001562.000
ec832	K031187.000
ec833	K013808.000
ec834	K048522.000
ec835	K013794.000
ec836	K005838.000
ec837	K041060.000
ec838	K021557.000
ec839	K022115.001
ec840	K054254.000
ec841	K021151.001
ec842	K062108.003
ec843	K111900.000
ec844	K000343.000
ec845	K016493.000
ec846	K112611.002
ec847	K006305.000
ec848	K068107.000
ec849	K068536.000
ec850	K005224.000
ec851	K091144.000
ec852	K048730.000
ec853	K002999.000
ec854	K092252.004
ec855	K135834.000
ec856	K059804.000
ec857	K011987.000
ec858	K105233.001
ec859	K122295.000
ec860	K074278.002
ec861	K059815.000
ec862	K023249.000
ec863	K037200.000
ec864	K041528.000
ec865	K134477.000
ec866	K070844.001
ec867	K008295.006
ec868	K081989.002
ec869	K076209.000
ec870	K107398.002
ec871	K050329.000
ec872	K038591.000
ec873	K111672.002
ec874	K105973.002
ec875	K036735.000
ec876	K036380.000
ec877	K057952.000
ec878	K080421.002
ec879	K055350.000
ec880	K028072.000
ec881	K050361.000
ec882	K095989.000
ec883	K108052.000
ec884	K014927.000
ec885	K096120.011
ec886	K018102.000
ec887	K022848.000
ec888	K107483.001
ec889	K112156.000
ec890	K035180.000
ec891	K059122.000
ec892	K024393.000
ec893	K021260.000
ec894	K100292.000
ec895	K006903.000
ec896	K065605.000
ec897	K041597.000
ec898	K080528.000
ec899	K037709.000
ec900	K049352.002
ec901	K041171.000
ec902	K092786.006
ec903	K102286.000
ec904	K120041.000
ec905	K109843.000
ec906	K021509.000
ec907	K041548.006
ec908	K029460.000
ec909	K040357.000
ec910	K078024.001
ec911	K054680.001
ec912	K078024.003
ec913	K113510.004
ec914	K049288.001
ec915	K067329.000
ec916	K046052.000
ec917	K058986.000
ec918	K021475.000
ec919	K092252.001
ec920	K074110.000
ec921	K050362.000
ec922	K018942.000
ec923	K036086.000
ec924	K125843.000
ec925	K066805.000
ec926	K039588.000
ec927	K046304.000
ec928	K053415.002
ec929	K034294.000
ec930	K022939.003
ec931	K113952.002
ec932	K123849.000
ec933	K036168.001
ec934	K057520.001
ec935	K114088.002
ec936	K046060.000
ec937	K062748.003
ec938	K062069.000
ec939	K114270.000
ec940	K013038.000
ec941	K020285.000
ec942	K061206.002
ec943	K096120.015
ec944	K097489.000
ec945	K049986.000
ec946	K114986.003
ec947	K024902.000
ec948	K077848.001
ec949	K011654.000
ec950	K022118.000
ec951	K015012.000
ec952	K043180.000
ec953	K003286.000
ec954	K043880.000
ec955	K080858.000
ec956	K117055.000
ec957	K047433.000
ec958	K083551.000
ec959	K046340.000
ec960	K061081.000
ec961	K032020.000
ec962	K016527.007
ec963	K054680.003
ec964	K103167.000
ec965	K039855.000
ec966	K016527.003
ec967	K051111.000
ec968	K087716.000
ec969	K098900.005
ec970	K050275.000
ec971	K005699.000
ec972	K032876.000
ec973	K052994.004
ec974	K113592.001
ec975	K019611.002
ec976	K005784.000
ec977	K044091.000
ec978	K071066.002
ec979	K107811.002
ec980	K052227.005
ec981	K007021.000
ec982	K107303.000
ec983	K105759.000
ec984	K041548.002
ec985	K023189.000
ec986	K035867.000
ec987	K027367.000
ec988	K114161.000
ec989	K050110.000
ec990	K049352.003
ec991	K085905.000
ec992	K035076.000
ec993	K076603.000
ec994	K048852.000
ec995	K041581.000
ec996	K028494.000
ec997	K051041.000
ec998	K004461.000
ec999	K021271.000
ec1000	K110414.004
ec1001	K094305.001
ec1002	K007986.002
ec1003	K062088.001
ec1004	K017256.000
ec1005	K064120.000
ec1006	K010810.000
ec1007	K080051.000
ec1008	K072003.000
ec1009	K046486.000
ec1010	K023000.000
ec1011	K114986.004
ec1012	K057526.002
ec1013	K053357.000
ec1014	K002919.000
ec1015	K017275.002
ec1016	K035393.000
ec1017	K099474.000
ec1018	K003860.000
ec1019	K038203.000
ec1020	K121056.000
ec1021	K000685.000
ec1022	K025215.000
ec1023	K113571.000
ec1024	K054260.000
ec1025	K099962.000
ec1026	K062088.002
ec1027	K046245.000
ec1028	K081319.000
ec1029	K021585.000
ec1030	K035870.000
ec1031	K049006.000
ec1032	K035015.000
ec1033	K023137.000
ec1034	K111112.000
ec1035	K041312.000
ec1036	K087079.000
ec1037	K019611.004
ec1038	K021266.000
ec1039	K105560.000
ec1040	K023160.000
ec1041	K049299.004
ec1042	K112697.001
ec1043	K019390.000
ec1044	K093080.001
ec1045	K107483.002
ec1046	K033170.000
ec1047	K060121.000
ec1048	K053415.001
ec1049	K056661.000
ec1050	K065858.002
ec1051	K007986.001
ec1052	K063327.000
ec1053	K077183.000
ec1054	K051776.000
ec1055	K013141.000
ec1056	K048130.000
ec1057	K024142.000
ec1058	K046809.000
ec1059	K093172.000
ec1060	K049745.000
ec1061	K088839.000
ec1062	K037740.000
ec1063	K074107.002
ec1064	K056731.000
ec1065	K063038.000
ec1066	K043977.000
ec1067	K106472.002
ec1068	K110382.000
ec1069	K006028.000
ec1070	K048173.000
ec1071	K135651.000
ec1072	K092353.002
ec1073	K106754.003
ec1074	K077599.002
ec1075	K029304.000
ec1076	K108999.000
ec1077	K058457.000
ec1078	K004747.000
ec1079	K113134.000
ec1080	K099681.000
ec1081	K035921.000
ec1082	K056602.000
ec1083	K096960.000
ec1084	K079495.000
ec1085	K099729.000
ec1086	K050319.000
ec1087	K044551.000
ec1088	K103915.001
ec1089	K063039.000
ec1090	K049942.000
ec1091	K038806.000
ec1092	K096120.005
ec1093	K022835.000
ec1094	K070362.001
ec1095	K050786.000
ec1096	K114954.000
