K016346.000	2006	Andrews, Miles Peter, d. 1814.	Belphegor: or, the wishes. A comic opera: as it is acted at the Theatre-Royal, Smoke-Alley.
K031308.000	2006	Garrick, David, 1717-1779.	Bon ton: or, high life above stairs. A comedy. In two acts. As it is performed at the Theatre Royal, in Drury-Lane.
K124157.003	2006	Burney, Fanny, 1752-1840.	Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ... [pt.3]
K086431.000	2006	Chetwood, W. R. (William Rufus), d. 1766.	The twins: or, the female traveller: A novel. Written by Mr. C--d, author of Faulconer, Boyle, and Vaughan's voyages, &amp;c.
K031013.000	2006	Mason, William, 1725-1797.	An archaeological epistle to the Reverend and Worshipful Jeremiah Milles: ... editor of a superb edition of the poems of Thomas Rowley, priest. To which is annexed a glossary, extracted from that of the learned dean.
K062102.002	2006	Vaughan, Thomas, fl. 1772-1820.	Fashionable follies: A novel. Containing the history of a Parisian family. In two volumes. ... [pt.2]
K060129.000	2006	Defoe, Daniel, 1661?-1731.	The mock mourners: A satyr, by way of elegy on King William. By the author of The true-born Englishman.
K021262.000	2006	Foote, Samuel, 1720-1777.	The lame lover: a comedy in three acts. As it is performed at the Theatre-Royal in the Hay-Market. By Samuel Foote, Esq.
K041210.000	2006	Cumberland, Richard, 1732-1811.	Odes: by Richard Cumberland, Esq;.
K059398.000	2006	Defoe, Daniel, 1661?-1731.	The life, adventures, and pyracies, of the famous Captain Singleton::
K021454.000	2006	Lillo, George, 1693-1739.	Elmerick: or, justice triumphant. A tragedy. As it is acted at the Theatre Royal in Drury-Lane. By Mr. Lillo.
K117941.000	2006	Reynolds, Frederick, 1764-1841.	The dramatist: a comedy, in five acts. Written by - Reynolds, Esq. ... As performed at the Theatre Royal Smoke-Alley.
K113633.001	2006	Goldsmith, Oliver, 1730?-1774.	The poetical and dramatic works of Oliver Goldsmith, M. B. Now first collected. With an account of the life and writings of the author. In two volumes: [pt.1]
K049308.003	2006	Smollett, Tobias George, 1721-1771.	The history of England: from the Revolution to the death of George the Second. (Designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. [pt.3]
K049099.000	2006	Cheyne, George, 1673-1743.	Observations concerning the nature and due method of treating the gout: for the use of my worthy friend, Richard Tennison, ... By Geo. Cheyne, M.D. ...
