id	title	year	sameAs	author	license	publisher	type	archive	link
bpt6k5577741n.txt	A quoi tiennent les crises ministérielles et l'instabilité du gouvernement ? par M. A. Duchatellier	1840	https://data.bnf.fr/ark:/12148/bpt6k5577741n	Du Chatellier, Armand (1797-1885)	Public domain	impr. de C. Mellinet (Nantes)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5577741n
bpt6k6207977h.txt	Contrôle chimique de la fabrication du sucre : instructions de laboratoire / par MM. P. Champion et H. Pellet,...	1874	https://data.bnf.fr/ark:/12148/bpt6k6207977h	Pellet, Henri (1848-19..?)	Public domain	impr. de J. Claye (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6207977h
bpt6k54682491.txt	A la mémoire de monseigneur Dominique-Augustin Dufêtre évêque de Nevers. Novembre 1860 / (signé : M. de C.)	1861	https://data.bnf.fr/ark:/12148/bpt6k54682491	Puissant, Vital (1835-1878)	Public domain	(Nevers)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k54682491
bpt6k55458953.txt	Du relâchement du pylore : son influence sur la digestion de l'estomac en un certain nombre de maladies chroniques / par M. le Dr G. Louis de Seré,...	1865	https://data.bnf.fr/ark:/12148/bpt6k55458953	Seré, Louis de (Dr)	Public domain	A. Delahaye (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k55458953
bpt6k9680625c.txt	Service funèbre de M. Eugène Bersier, pasteur de l'église réformée de France, célébré le vendredi 22 novembre 1889 à l'église évangélique de l'Etoile	1889	https://data.bnf.fr/ark:/12148/bpt6k9680625c		Public domain	église évangélique de l'Etoile (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9680625c
bpt6k6181359m.txt	L'ouvrier : drame en 5 actes / par Frédéric Soulié	1858	https://data.bnf.fr/ark:/12148/bpt6k6181359m	Soulié, Frédéric (1800-1847)	Public domain	Michel-Lévy frères (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6181359m
bpt6k65504784.txt	Le Transsaharien : dernière oeuvre de guerre, première oeuvre de paix, avec note annexe sur les affluents ou deltas méditerranéens... / par V. Schwich,...	1916	https://data.bnf.fr/ark:/12148/bpt6k65504784	Schwich, V.	Public domain	impr. de A. Fouquet (Tunis)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k65504784
bpt6k5510419z.txt	Observations présentées à monsieur le vicomte Du Hamel, maire de la ville de Bordeaux , par le directeur des théâtres de la même ville	1829	https://data.bnf.fr/ark:/12148/bpt6k5510419z	Baignol (02)	Public domain	impr. de Lavigne jeune (Bordeaux)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5510419z
bpt6k55467047.txt	Couplets patriotes, faits à l'occasion de la fête civique des deux martyrs de la Liberté, Lepelletier & Marat, célébrée le 30 brumaire, l'an 2e de la République française	179.	https://data.bnf.fr/ark:/12148/bpt6k55467047	Lemaire, Antoine-François (1758-18..)	Public domain	[s.n.][s.n.]	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k55467047
bpt6k5662071s.txt	Foyers et coulisses. 4, Palais-Royal / par Henry Buguet	1874	https://data.bnf.fr/ark:/12148/bpt6k5662071s	Buguet, Henry (1845-1920)	Public domain	Tresse (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5662071s
bpt6k64673854.txt	Miscellanées : poésies / par O. J. R.	1867	https://data.bnf.fr/ark:/12148/bpt6k64673854	Richard, Olivier-Jules (1836-1896)	Public domain	impr. de C. Thèze (Rochefort)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k64673854
bpt6k6317598t.txt	Les prodiges du hasard : comédie-vaudeville en deux actes	1850	https://data.bnf.fr/ark:/12148/bpt6k6317598t		Public domain	maison des orphelins (Bordeaux)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6317598t
bpt6k58086259.txt	"Ministère de la Guerre. Décision présidentielle du 29 juin 1878, modifiant les tarifs de solde par suite du vote de la loi sur les pensions de retraite des officiers. Extrait du ""Journal militaire officiel"", partie réglementaire, 1er semestre 1878, n° 31"	1878	https://data.bnf.fr/ark:/12148/bpt6k58086259		Public domain	J. Dumaine (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k58086259
bpt6k9674559s.txt	Explication des principes élémentaires de musique , par Jean Bisch, professeur. Nouvelle édition augmentée de solfèges faciles, et de 24 airs de chant par gradation...	1804-1815	https://data.bnf.fr/ark:/12148/bpt6k9674559s	Bisch, Jean (1733-1824)	Public domain	Louis (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9674559s
bpt6k96743860.txt	Voyage de Robert Macaire aux enfers : almanach nouveau...	1836	https://data.bnf.fr/ark:/12148/bpt6k96743860	Neveux	Public domain	impr. de Chassaignon (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k96743860
