uri,label
http://vocab.getty.edu/aat/300014701,additief
http://vocab.getty.edu/aat/300014701,aditivo
http://vocab.getty.edu/aat/300265578,carton-pierre
http://vocab.getty.edu/aat/300265578,carton-pierre
http://vocab.getty.edu/aat/300263580,shoders (grouping for gold-shaping )
http://vocab.getty.edu/aat/300263580,shoders
http://vocab.getty.edu/aat/300263580,shoders
http://vocab.getty.edu/aat/300263580,shoder (grouping for gold-shaping )
http://vocab.getty.edu/aat/300263580,shoder
http://vocab.getty.edu/aat/300263580,包金膜
http://vocab.getty.edu/aat/300263580,金片堆
http://vocab.getty.edu/aat/300263580,bāo jīn mó
http://vocab.getty.edu/aat/300263580,bao jin mo
http://vocab.getty.edu/aat/300263580,pao chin mo
http://vocab.getty.edu/aat/300263580,Lotformen
http://vocab.getty.edu/aat/300263580,Lotform
http://vocab.getty.edu/aat/300014648,medium-grain material
http://vocab.getty.edu/aat/300014648,"material, medium-grain"
http://vocab.getty.edu/aat/300014648,middelkorrelig materiaal
http://vocab.getty.edu/aat/300014648,material de grano medio
http://vocab.getty.edu/aat/300246929,elements (chemical substances)
http://vocab.getty.edu/aat/300246929,element (chemical substance)
http://vocab.getty.edu/aat/300246929,element
http://vocab.getty.edu/aat/300246929,chemical elements
http://vocab.getty.edu/aat/300246929,"elements, chemical"
http://vocab.getty.edu/aat/300246929,元素 (化學物質)
http://vocab.getty.edu/aat/300246929,yuán sù
http://vocab.getty.edu/aat/300246929,elementen
http://vocab.getty.edu/aat/300246929,yuan su
http://vocab.getty.edu/aat/300246929,yüan su
http://vocab.getty.edu/aat/300246929,elementos (material)
http://vocab.getty.edu/aat/300246929,elemento (material)
http://vocab.getty.edu/aat/300220976,crust
http://vocab.getty.edu/aat/300220976,crusts
http://vocab.getty.edu/aat/300220976,incrustation
http://vocab.getty.edu/aat/300220976,korst
http://vocab.getty.edu/aat/300220976,costra
http://vocab.getty.edu/aat/300220976,corteza (material por forma física)
http://vocab.getty.edu/aat/300227406,napalm
http://vocab.getty.edu/aat/300227406,napalm
http://vocab.getty.edu/aat/300227406,napalm
http://vocab.getty.edu/aat/300227406,凝汽油劑
http://vocab.getty.edu/aat/300227406,膠化汽油
http://vocab.getty.edu/aat/300227406,níng qì yóu jì
http://vocab.getty.edu/aat/300227406,ning qi you ji
http://vocab.getty.edu/aat/300227406,ning ch'i yu chi
http://vocab.getty.edu/aat/300227406,Napalm (Brandwaffe)
http://vocab.getty.edu/aat/300206579,combination inorganic/organic material
http://vocab.getty.edu/aat/300206579,"material, combination inorganic/organic"
