id	year	author	title	filename	link
1983__Mussolini_Benito__Come_nacque_il_fascismo.txt	1983	Mussolini, Benito	Come nacque il fascismo
1690__Redi_Francesco__Lettera_intorno_allinvenzione_degli_occhiali_scritta_da_Francesco_Redi_allillustrissimo_signor_Paolo.txt	1690	Redi, Francesco	Lettera intorno all'invenzione degli occhiali scritta da Francesco Redi all'illustrissimo signor Paolo Falconieri
1882__Cavallotti_Felice__La_sposa_di_Mnecle.txt	1882	Cavallotti, Felice	La sposa di Mènecle
1812__Tiraboschi_Girolamo__Storia_della_letteratura_italiana_del_cav_Abate_Girolamo_Tiraboschi_Tomo_7_Parte_3_Dallanno_MD_fino_.txt	1812	Tiraboschi, Girolamo	Storia della letteratura italiana del cav. Abate Girolamo Tiraboschi – Tomo 7. – Parte 3: Dall'anno MD. fino all'anno MDC.
1921__Roggero_Egisto__Per_intendere_le_teorie_di_Einstein_la_relativit.txt	1921	Roggero, Egisto	Per intendere le teorie di Einstein: la relatività
1922__Zola_mile__Nuove_storielle_a_Ninetta.txt	1922	Zola, Émile	Nuove storielle a Ninetta
1871__Mantegazza_Paolo__Quadri_della_natura_umana_Feste_ed_ebbrezze_Volume_I.txt	1871	Mantegazza, Paolo	Quadri della natura umana. Feste ed ebbrezze. Volume I.
1969__Algarotti_Francesco__Saggio_sopra_la_lingua_francese.txt	1969	Algarotti, Francesco	Saggio sopra la lingua francese
1875__Cant_Cesare__Storia_degli_italiani_Tomo_III.txt	1875	Cantù, Cesare	Storia degli italiani. Tomo III
1922__Marinetti_Filippo_Tommaso__Il_tamburo_di_fuoco.txt	1922	Marinetti, Filippo Tommaso	Il tamburo di fuoco
1775__Lancillotti_Giovanni__I_principj_della_lingua_italiana.txt	1775	Lancillotti, Giovanni	I principj della lingua italiana
1550__Lando_Ortensio__Commentario_de_le_piu_notabili_mostruose_cose_dItalia_altri_luoghi_di_lingua_aramea_in_italiana_trad.txt	1550	Lando, Ortensio	Commentario de le piu notabili, & mostruose cose d'Italia, & altri luoghi, di lingua aramea in italiana tradotto, nelquale [!] s'impara, & prendesi estremo piacere. Vi si è poi aggionto vn breue catalogo de gli inuentori de le cose che si mangiano, & si beueno, nuouamente ritrouato, & da messer Anonymo di Vtopia composto
1971__Pirandello_Luigi__Ciascuno_a_suo_modo.txt	1971	Pirandello, Luigi	Ciascuno a suo modo
1831__autori_vari__La_vita_italiana_nel_Risorgimento_18151831.txt	1831	autori vari	La vita italiana nel Risorgimento : 1815-1831
1951__Albertelli_Pilo__Rousseau.txt	1951	Albertelli, Pilo	Rousseau
1992__Goldoni_Carlo__Le_morbinose.txt	1992	Goldoni, Carlo	Le morbinose
1922__Michel_Louise__La_Comune.txt	1922	Michel, Louise	La Comune
1915__Piscel_Antonio__Il_conflitto_austroserbo_e_gli_interessi_italiani.txt	1915	Piscel, Antonio	Il conflitto austro-serbo e gli interessi italiani
2004__Rosa_Giovanna__Identit_di_una_metropoli_la_letteratura_della_Milano_moderna.txt	2004	Rosa, Giovanna	Identità di una metropoli: la letteratura della Milano moderna
1954__Goldoni_Carlo__La_bancarotta_o_sia_il_mercante_fallito.txt	1954	Goldoni, Carlo	La bancarotta, o sia il mercante fallito
1821__Ramazzini_Bernardino__Trattato_delle_malattie_degli_artefici.txt	1821	Ramazzini, Bernardino	Trattato delle malattie degli artefici
1954__Niccol_Machiavelli__Lettera_a_Francesco_Vettori.txt	1954	Niccolò Machiavelli	Lettera a Francesco Vettori
1848__Tucci_Saverio__Memoria_sul_ristoro_della_Calabria.txt	1848	Tucci, Saverio	Memoria sul ristoro della Calabria
1955__Goldoni_Carlo__La_donna_stravagante.txt	1955	Goldoni, Carlo	La donna stravagante
1990__Homerus_Omero__Iliade.txt	1990	Homerus (Omero)	Iliade
1900__Fontanarosa_Vincenzo__Il_Parlamento_nazionale_napoletano_per_gli_anni_1820_e_1821_memorie_e_documenti.txt	1900	Fontanarosa, Vincenzo	Il Parlamento nazionale napoletano per gli anni 1820 e 1821: memorie e documenti
1920__Guglielminetti_Amalia__La_porta_della_gioia.txt	1920	Guglielminetti, Amalia	La porta della gioia
1990__Berneri_Camillo__Pietrogrado_1917_Barcellona_1937_Scritti_scelti.txt	1990	Berneri, Camillo	Pietrogrado 1917 Barcellona 1937 : Scritti scelti
